Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
101 ACADEMY RD,12040650000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1906,3047,2023,4,500000,164.10,537000,176.24
815 WELLINGTON CRES,12040680000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1949,4138,2023,7,2800000,676.66,2979200,719.96
54 WILTON ST,12040720000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1925,2966,2024,6,780000,262.98,801800,270.33
166 WAVERLEY ST,12040808000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1930,2555,2023,3,1166000,456.36,1255800,491.51
819 WAVERLEY ST,12040907100,RESSD - Detached SIngle Dwelling,OS-One Storey,1958,1396,2024,10,622000,445.56,632000,452.72
800 WAVERLEY ST,12041051100,RESSD - Detached SIngle Dwelling,OS-One Storey,1958,1112,2023,4,435000,391.19,467200,420.14
418 WAVERLEY ST,12041370000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1941,1331,2023,4,355000,266.72,381300,286.48
320 WAVERLEY ST,12041427000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1913,1733,2023,7,550200,317.48,585400,337.80
255 MONTROSE ST,12042296000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1914,1699,2024,9,480000,282.52,489100,287.88
628 MONTROSE ST,12042401000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,1074,2024,8,570000,530.73,582500,542.36
392 WATERLOO ST,12050277000,RESSD - Detached SIngle Dwelling,OS-One Storey,1931,973,2023,9,461392,474.20,487700,501.23
330 OAK ST,12050415000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2015,1837,2024,9,981000,534.02,999600,544.15
492 ASH ST,12050584000,RESSD - Detached SIngle Dwelling,OS-One Storey,1943,993,2023,7,455100,458.31,484200,487.61
678 BROCK ST,12051875000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,1190,2024,12,385000,323.53,388500,326.47
445 QUEENSTON ST,12052058000,RESSD - Detached SIngle Dwelling,OS-One Storey,1946,932,2024,8,425000,456.01,434400,466.09
151 QUEENSTON ST,12052197000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1929,1029,2023,11,352500,342.57,370500,360.06
585 NIAGARA ST,12052430000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,1546,2024,6,455000,294.31,467700,302.52
927 ASH ST,12052947500,RESSD - Detached SIngle Dwelling,OS-One Storey,1964,1654,2023,8,600000,362.76,636600,384.89
1394 MATHERS BAY E,12052981100,RESSD - Detached SIngle Dwelling,OS-One Storey,1960,1406,2024,8,584000,415.36,596800,424.47
720 CORDOVA ST,12060114000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,984,2024,3,408000,414.63,423500,430.39
445 CORDOVA ST,12060189000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1945,1440,2023,12,380000,263.89,397900,276.32
84 CAMPBELL ST,12060805000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1920,2124,2023,8,625000,294.26,663100,312.19
791 BOREBANK ST,12061601000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,912,2023,2,417791,458.10,451200,494.74
364 LINDSAY ST,12061816000,RESSD - Detached SIngle Dwelling,OS-One Storey,1946,1200,2023,8,410000,341.67,435000,362.50
417 CAMPBELL ST,12062283000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1939,1144,2023,8,410000,358.39,435000,380.24
295 CAMPBELL ST,12062356000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1708,2024,6,761905,446.08,783200,458.55
616 CAMPBELL ST,12062560000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,1154,2023,8,380000,329.29,403200,349.39
270 CAMPBELL ST,12062670000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1928,1332,2024,5,470000,352.85,484600,363.81
833 RENFREW ST,12070142100,RESSD - Detached SIngle Dwelling,OS-One Storey,1957,1040,2024,3,342000,328.85,355000,341.35
173 LANARK ST,12070969000,RESSD - Detached SIngle Dwelling,OS-One Storey,1924,848,2024,7,359900,424.41,368900,435.02
953 BEAVERBROOK ST,12071668100,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,1042,2025,3,348000,333.97,348000,333.97
236 CENTENNIAL ST,12071874000,RESSD - Detached SIngle Dwelling,OS-One Storey,1914,760,2023,10,252000,331.58,265600,349.47
667 CENTENNIAL ST,12072086100,RESSD - Detached SIngle Dwelling,OS-One Storey,1958,1047,2023,1,347000,331.42,376100,359.22
647 CENTENNIAL ST,12072091100,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,1019,2023,10,345000,338.57,363600,356.82
109 FULHAM AVE,12072467000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1939,1412,2024,1,490000,347.03,511600,362.32
530 CLIFTON ST,12080581000,RESSD - Detached SIngle Dwelling,OS-One Storey,1927,946,2023,11,290000,306.55,304800,322.20
509 CAMDEN PL,12080698000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,1321,2025,3,279000,211.20,279000,211.20
439 GREENWOOD PL,12081048000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1912,1780,2024,7,428000,240.45,438700,246.46
262 GARFIELD ST S,12081344000,RESSD - Detached SIngle Dwelling,OS-One Storey,1920,869,2023,12,225000,258.92,235600,271.12
234 SHERBURN ST,12081386000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1921,1540,2023,12,265000,172.08,277500,180.19
197 AUBREY ST,12081541000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,995,2023,4,261000,262.31,280300,281.71
95 LENORE ST,12081820000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1912,1635,2023,5,362000,221.41,387300,236.88
40 RUBY ST,12082035000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1243,2024,11,390040,313.79,395100,317.86
29 EVANSON ST,12082126000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1040,2023,10,344700,331.44,363300,349.33
102 ARLINGTON ST,12082236000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1909,1242,2024,2,305000,245.57,317500,255.64
107 ARLINGTON ST,12082450000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1910,1556,2023,12,350000,224.94,366500,235.54
239 ARLINGTON ST,12082587000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1910,1965,2024,11,369900,188.24,374700,190.69
856 WESTMINSTER AVE,12082686000,RESMC - Multi-Family Conversion,TS-Two Storey,1947,2160,2024,6,480000,222.22,493400,228.43
108 WALNUT ST,12082958000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1910,1839,2023,5,275000,149.54,294300,160.03
183 BALMORAL ST,12091172000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1902,1931,2025,3,275000,142.41,275000,142.41
86 BALMORAL ST,12091417000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1911,2556,2025,1,620000,242.57,623100,243.78
1753 GROSVENOR AVE,12097804635,RESSD - Detached SIngle Dwelling,TS-Two Storey,2019,2436,2024,6,1175000,482.35,1207900,495.85
948 LORETTE AVE,12097809050,RESSU - Secondary Unit,TS-Two Storey,2022,1652,2023,1,600000,363.20,650400,393.70
722 ASHBURN ST,13002434000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1911,1040,2024,10,301722,290.12,305300,293.56
801 STRATHCONA ST,13002599100,RESDU - Duplex,TS-Two Storey,1960,1872,2023,7,475000,253.74,507300,270.99
935 STRATHCONA ST,13002720000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1905,914,2023,5,194000,212.25,209100,228.77
725 ASHBURN ST,13003233000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1290,2024,2,312900,242.56,323900,251.09
874 VALOUR RD,13003384000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1914,1168,2023,10,365000,312.50,384700,329.37
737 VALOUR RD,13003770000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1913,1184,2024,6,280000,236.49,286200,241.72
786 SPRUCE ST,13003807000,RESSD - Detached SIngle Dwelling,OS-One Storey,1914,818,2023,6,259900,317.73,278900,340.95
579 SPRUCE ST,13010016000,RESSD - Detached SIngle Dwelling,OS-One Storey,1947,794,2025,1,230000,289.67,231200,291.18
997 SPRUCE ST,13010226000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1944,1539,2023,11,195000,126.71,204600,132.94
1153 SPRUCE ST,13010316000,RESSD - Detached SIngle Dwelling,OS-One Storey,1927,958,2023,7,355000,370.56,379100,395.72
745 CLIFTON ST,13010826000,RESSD - Detached SIngle Dwelling,OS-One Storey,1922,610,2023,8,196150,321.56,208500,341.80
632 GOULDING ST,13011721000,RESSD - Detached SIngle Dwelling,OS-One Storey,1931,644,2023,11,249900,388.04,262100,406.99
636 MINTO ST,13012172000,RESSD - Detached SIngle Dwelling,OS-One Storey,1916,696,2023,7,205000,294.54,218900,314.51
686 MINTO ST,13012192000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1905,1256,2023,6,272000,216.56,291900,232.40
634 SHERBURN ST,13020615000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1914,1633,2024,5,433000,265.16,443800,271.77
1197 SHERBURN ST,13020921000,RESSD - Detached SIngle Dwelling,OS-One Storey,1946,792,2023,4,260000,328.28,281600,355.56
1108 SHERBURN ST,13020962000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1914,1154,2024,11,300000,259.97,303000,262.56
1072 SHERBURN ST,13020988000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1914,1128,2024,9,240000,212.77,243600,215.96
860 LIPTON ST,13021709000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1903,1440,2023,7,224500,155.90,239800,166.53
534 LIPTON ST,13021997000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1368,2023,9,200000,146.20,211600,154.68
291 LIPTON ST,13022097000,RESSD - Detached SIngle Dwelling,OS-One Storey,1929,824,2023,8,300291,364.43,319200,387.38
753 BEVERLEY ST,13031591000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1280,2023,12,206600,161.41,215700,168.52
563 SIMCOE ST,13031833000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1907,1147,2023,5,225000,196.16,242600,211.51
527 SIMCOE ST,13031845000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1905,1116,2024,6,83000,74.37,84800,75.99
357 BEVERLEY ST,13032131000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1684,2023,8,188000,111.64,199800,118.65
316 SIMCOE ST,13032179000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1911,800,2024,2,140000,175.00,144900,181.13
288 BEVERLEY ST,13032256000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1907,1227,2023,5,200000,163.00,215600,175.71
665 TORONTO ST,13040123000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1905,1200,2024,12,208000,173.33,209500,174.58
362 TORONTO ST,13040220000,RESSD - Detached SIngle Dwelling,OS-One Storey,1902,740,2024,11,110000,148.65,111100,150.14
377 VICTOR ST,13040595000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1911,1240,2023,10,242000,195.16,255100,205.73
782 VICTOR ST,13040830000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1905,1985,2024,8,199900,100.71,203300,102.42
358 AGNES ST,13041121000,RESSD - Detached SIngle Dwelling,OS-One Storey,1896,766,2025,3,200000,261.10,200000,261.10
549 AGNES ST,13041247000,RESSD - Detached SIngle Dwelling,OS-One Storey,1905,715,2024,12,83000,116.08,83600,116.92
492 FURBY ST,13050490000,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1905,2015,2024,7,230000,114.14,234600,116.43
523 SHERBROOK ST,13050570000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1907,2106,2024,4,293000,139.13,300900,142.88
535 LANGSIDE ST,13050916000,RESMC - Multi-Family Conversion,TS-Two Storey,1905,1206,2024,10,160000,132.67,161900,134.25
614 YOUNG ST,13051189000,RESDU - Duplex,O3-One & 3/4 Storey,1907,1214,2023,6,215000,177.10,230700,190.03
556 BANNATYNE AVE,13061403000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1987,1422,2023,7,286000,201.13,305400,214.77
859 BANNATYNE AVE,13061991200,RESMC - Multi-Family Conversion,TH-Two & 1/2 Storey,1907,2255,2023,12,242500,107.54,253200,112.28
1405 BANNATYNE AVE W,13062294000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1914,959,2023,4,197500,205.94,213900,223.04
1390 LINCOLN AVE,13062748000,RESSD - Detached SIngle Dwelling,OS-One Storey,1945,1225,2023,8,235000,191.84,249800,203.92
1415 ELGIN AVE W,13070825000,RESSD - Detached SIngle Dwelling,OS-One Storey,1914,750,2023,4,160000,213.33,173300,231.07
588 ROSS AVE,13071999000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1895,1516,2023,7,157000,103.56,167700,110.62
1500 PACIFIC AVE W,13080860000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1909,1030,2024,2,198000,192.23,204900,198.93
1484 PACIFIC AVE W,13080905000,RESSD - Detached SIngle Dwelling,OS-One Storey,1962,702,2023,7,230000,327.64,245600,349.86
1476 PACIFIC AVE W,13080909000,RESSD - Detached SIngle Dwelling,OS-One Storey,1926,656,2023,5,205000,312.50,221000,336.89
709 ALEXANDER AVE,13082352000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1895,1062,2023,2,180000,169.49,196700,185.22
252 SHERMAN ST,13082525000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1907,1091,2024,2,245000,224.56,253600,232.45
1214 LOGAN AVE,13090048000,RESSD - Detached SIngle Dwelling,OS-One Storey,1945,700,2025,2,162000,231.43,162500,232.14
1481 ALEXANDER AVE,13090325000,RESSD - Detached SIngle Dwelling,OS-One Storey,1928,926,2023,1,210000,226.78,230600,249.03
1608 ALEXANDER AVE,13090545000,RESSD - Detached SIngle Dwelling,OS-One Storey,1908,649,2023,1,112500,173.34,123500,190.29
2021 GALLAGHER AVE,13090702000,RESSD - Detached SIngle Dwelling,OS-One Storey,1906,840,2024,6,173000,205.95,176800,210.48
48 PRINCE EDWARD ST,14000426000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1949,1077,2024,3,185000,171.77,190600,176.97
66 GROVE ST,14000540000,RESDU - Duplex,TS-Two Storey,1904,2240,2024,3,380000,169.64,391400,174.73
229 AUSTIN ST N,14000684000,RESMC - Multi-Family Conversion,TS-Two Storey,1906,1320,2024,6,125000,94.70,127800,96.82
383 STELLA AVE,14001725000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1913,1168,2023,3,165000,141.27,179500,153.68
431 FLORA AVE,14001936000,RESMC - Multi-Family Conversion,OH-One & 1/2 Storey,1894,1357,2024,11,155000,114.22,156600,115.40
689 FLORA AVE,14002627000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1907,1440,2024,8,37000,25.69,37600,26.11
1096 PRITCHARD AVE,14010574000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1929,938,2024,10,225000,239.87,227700,242.75
1462 PRITCHARD AVE,14011150000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1912,965,2024,4,175000,181.35,179700,186.22
902 MANITOBA AVE,14020665000,RESSD - Detached SIngle Dwelling,OS-One Storey,1912,528,2024,6,115000,217.80,117500,222.54
895 PRITCHARD AVE,14020700000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,1174,2025,3,245000,208.69,245000,208.69
455 PRITCHARD AVE,14020838000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1903,1212,2023,7,124500,102.72,133000,109.74
1393 MANITOBA AVE,14021280000,RESSD - Detached SIngle Dwelling,OS-One Storey,1945,700,2023,11,205000,292.86,215000,307.14
574 BURROWS AVE,14022412000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1911,960,2024,2,125000,130.21,129400,134.79
1019 MAGNUS AVE,14022563000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1905,1040,2023,6,185000,177.88,198500,190.87
1305 MAGNUS AVE,14022735000,RESSD - Detached SIngle Dwelling,OS-One Storey,1948,936,2023,11,235000,251.07,246500,263.35
731 BURROWS AVE,14030231000,RESSD - Detached SIngle Dwelling,OS-One Storey,1912,640,2023,7,75000,117.19,80100,125.16
698 ABERDEEN AVE,14030922000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1911,1249,2023,9,148000,118.49,156600,125.38
948 ABERDEEN AVE,14030996000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1943,925,2023,7,203000,219.46,216800,234.38
1012 ABERDEEN AVE,14031007000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1925,1096,2024,4,258000,235.40,265000,241.79
1199 BURROWS AVE,14031347000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,1030,2023,2,208000,201.94,227300,220.68
455 ABERDEEN AVE,14032096000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1907,1195,2025,3,102000,85.36,102000,85.36
420 COLLEGE AVE,14032949000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1924,990,2025,3,175000,176.77,175000,176.77
556 COLLEGE AVE,14033132000,RESMC - Multi-Family Conversion,TS-Two Storey,1914,1504,2024,6,143000,95.08,146100,97.14
581 BOYD AVE,14033153000,RESDU - Duplex,TS-Two Storey,1961,2028,2024,3,240000,118.34,247200,121.89
550 BOYD AVE,14033172000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1929,1264,2025,1,198000,156.65,199000,157.44
766 COLLEGE AVE,14040310000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1927,1204,2023,3,187500,155.73,204000,169.44
419 ANDREWS ST,14043305000,RESSD - Detached SIngle Dwelling,OS-One Storey,1909,800,2024,7,215000,268.75,219300,274.13
473 PARR ST,14050332000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1914,880,2025,2,130000,147.73,130400,148.18
450 PARR ST,14050381000,RESSD - Detached SIngle Dwelling,OS-One Storey,1922,604,2024,1,143000,236.75,148600,246.03
1245 COLLEGE AVE,14051990000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,1224,2024,6,310000,253.27,316800,258.82
1207 MOUNTAIN AVE,14052056100,RESSD - Detached SIngle Dwelling,OS-One Storey,1963,1215,2024,11,395999,325.93,402700,331.44
1241 CHAMBERLAIN AVE,14052325000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,1089,2024,9,240999,221.30,247000,226.81
190 CATHEDRAL AVE,14052701000,RESMC - Multi-Family Conversion,TS-Two Storey,1930,1554,2024,5,275000,176.96,286600,184.43
232 CATHEDRAL AVE,14052734000,RESDU - Duplex,TS-Two Storey,1945,2336,2024,11,422000,180.65,426200,182.45
726 BANNERMAN AVE,14060569100,RESSD - Detached SIngle Dwelling,BL-Bi-Level,2025,1200,2025,3,442500,368.75,442500,368.75
858 BANNERMAN AVE,14060652000,RESSD - Detached SIngle Dwelling,OS-One Storey,1951,858,2023,9,315000,367.13,339300,395.45
1167 POLSON AVE,14060811100,RESSD - Detached SIngle Dwelling,OS-One Storey,1957,1074,2025,2,376000,350.09,377500,351.49
42 LUXTON AVE,14061136000,RESDU - Duplex,TS-Two Storey,1955,1926,2024,12,379000,196.78,383900,199.33
453 POLSON AVE,14061700000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1912,836,2024,12,125000,149.52,125900,150.60
376 ATLANTIC AVE,14062242000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1154,2024,8,240000,207.97,244100,211.53
1137 INKSTER BLVD,14063338100,RESSD - Detached SIngle Dwelling,OS-One Storey,1957,948,2024,4,295000,311.18,308900,325.84
133 INKSTER BLVD,14070208000,RESSD - Detached SIngle Dwelling,OS-One Storey,1924,1014,2024,12,310000,305.72,314000,309.66
263 INKSTER BLVD,14070461000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1912,1428,2023,11,247000,172.97,259100,181.44
426 INKSTER BLVD,14070832000,RESDU - Duplex,OH-One & 1/2 Storey,1950,2276,2024,12,380000,166.96,382700,168.15
975 INKSTER BLVD,14071427000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,1214,2024,6,312500,257.41,324400,267.22
1034 LANSDOWNE AVE,14071525000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,1156,2023,5,345000,298.44,377800,326.82
47 MCADAM AVE,14071634000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1911,1596,2024,10,300000,187.97,306300,191.92
326 MCADAM AVE,14072139000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1950,1451,2024,12,356000,245.35,360600,248.52
330 MATHESON AVE,14072171000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,1382,2023,4,346000,250.36,380600,275.40
104 MARTIN AVE W,14080222000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1912,1118,2024,10,278000,248.66,291600,260.82
194 HARBISON AVE W,14080284000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1911,1264,2024,10,275000,217.56,288500,228.24
325 HARBISON AVE W,14080438000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1993,1014,2024,6,321000,316.57,350200,345.36
388 HARBISON AVE W,14080641000,RESSD - Detached SIngle Dwelling,OS-One Storey,1913,712,2024,8,120000,168.54,128400,180.34
426 MARTIN AVE W,14080732000,RESSS - Side By Side,TS-Two Storey,1977,1140,2023,11,225000,197.37,248400,217.89
487 MARTIN AVE W,14080870100,RESSD - Detached SIngle Dwelling,OS-One Storey,1927,707,2024,3,173000,244.70,189600,268.18
646 HARBISON AVE E,14081050100,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,816,2023,6,262000,321.08,291900,357.72
845 CHALMERS AVE E,14081406000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,998,2023,9,269900,270.44,299000,299.60
35 CARMEN AVE,14081665000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1913,1144,2024,8,260000,227.27,278200,243.18
104 COBOURG AVE,14081883000,RESSD - Detached SIngle Dwelling,OS-One Storey,1941,657,2024,2,242000,368.34,265700,404.41
179 POPLAR AVE,14083150000,RESSD - Detached SIngle Dwelling,OS-One Storey,1928,791,2023,8,225000,284.45,249800,315.80
126 HART AVE,14083526000,RESSD - Detached SIngle Dwelling,OS-One Storey,1941,752,2023,9,263000,349.73,291400,387.50
225 MCINTOSH AVE,14083667000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1909,1084,2024,10,180000,166.05,188800,174.17
435 TWEED AVE,14090363000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1912,1050,2025,2,130000,123.81,131300,125.05
150 WATT ST,14090412000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,1062,2024,6,290000,273.07,316400,297.93
923 BEACH AVE,14090645000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1928,960,2024,11,205800,214.38,213800,222.71
1003 BEACH AVE,14090682000,RESSD - Detached SIngle Dwelling,OS-One Storey,1955,964,2023,3,327000,339.21,366200,379.88
437 RIVERTON AVE,14091211000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1908,1246,2023,3,270000,216.69,302400,242.70
107 TALBOT AVE,14091350000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1907,1113,2023,7,158000,141.96,175700,157.86
373 TALBOT AVE,14091804300,RESSD - Detached SIngle Dwelling,OS-One Storey,1907,815,2023,12,198000,242.94,218200,267.73
722 BEACH AVE,14091944000,RESSD - Detached SIngle Dwelling,OS-One Storey,1957,816,2023,10,297000,363.97,328500,402.57
801 TALBOT AVE,14092024000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1947,1100,2024,10,340000,309.09,356700,324.27
1035 TALBOT AVE,14092336000,RESSD - Detached SIngle Dwelling,OS-One Storey,1953,964,2023,9,280000,290.46,310200,321.78
1044 MCCALMAN AVE,14092465100,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,931,2025,2,191000,205.16,192900,207.20
766 TALBOT AVE,14092511000,RESSD - Detached SIngle Dwelling,OS-One Storey,1910,824,2023,7,247000,299.76,274700,333.37
630 TALBOT AVE,14092636000,RESDU - Duplex,TS-Two Storey,1977,1534,2023,4,330000,215.12,368900,240.48
325 WILLIAM NEWTON AVE,14092777000,RESSD - Detached SIngle Dwelling,OS-One Storey,1907,524,2023,4,145000,276.72,162100,309.35
401 NAIRN AVE,14092950000,RESSD - Detached SIngle Dwelling,OS-One Storey,1942,982,2024,8,254900,259.57,272700,277.70
647 NAIRN AVE,14093369000,RESSD - Detached SIngle Dwelling,OS-One Storey,1911,484,2023,10,136000,280.99,150400,310.74
917 NAIRN AVE,14093485000,RESSD - Detached SIngle Dwelling,OS-One Storey,1954,936,2024,11,230000,245.73,239000,255.34
54 FAIRGROVE BAY,14095079600,RESSD - Detached SIngle Dwelling,OS-One Storey,1977,993,2024,4,385000,387.71,403100,405.94
89 EGESZ ST,14095132000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1981,844,2023,9,348000,412.32,374800,444.08
168 GARDEN GROVE DR,14095162100,RESSD - Detached SIngle Dwelling,OS-One Storey,1980,1088,2024,10,405000,372.24,413500,380.06
82 LARKSPUR DR,14095295000,RESSD - Detached SIngle Dwelling,OS-One Storey,1989,1132,2024,10,450000,397.53,459500,405.92
98 BARNHAM CRES,14095619600,RESSD - Detached SIngle Dwelling,OS-One Storey,1993,1024,2023,1,395000,385.74,432900,422.75
97 HUNT AVE,14096085100,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1925,1114,2023,12,270000,242.37,287300,257.90
2182 BURROWS AVE,14096164900,RESSD - Detached SIngle Dwelling,TL-3 Level Split,1977,911,2023,2,265000,290.89,291500,319.98
286 WEITZEL ST,14096707200,RESSD - Detached SIngle Dwelling,OS-One Storey,1985,980,2023,10,342500,349.49,367500,375.00
90 TARASKA BAY,14096803000,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1023,2023,8,364000,355.82,393800,384.95
18 ELLINGTON ST,14097831700,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,840,2023,11,337000,401.19,359900,428.45
31 DEXTER ST,14097941500,RESSS - Side By Side,TS-Two Storey,1977,1152,2024,8,359900,312.41,370300,321.44
71 DEXTER ST,14097945300,RESSS - Side By Side,TS-Two Storey,1977,1156,2024,9,310000,268.17,317800,274.91
115 KINVER AVE,14097951500,RESSS - Side By Side,OS-One Storey,1978,920,2023,12,285000,309.78,303200,329.57
59 CROPO BAY,14097962700,RESSD - Detached SIngle Dwelling,OS-One Storey,1978,856,2024,8,387000,452.10,398200,465.19
206 KINVER AVE,14097985500,RESSS - Side By Side,TS-Two Storey,1978,1156,2024,7,305000,263.84,315400,272.84
147 VALEWOOD CRES,14099615800,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1983,1246,2023,10,357000,286.52,383100,307.46
946 MOUNTAIN AVE,14099982500,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1933,900,2024,5,230000,255.56,235800,262.00
