Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
31 PINECREST BAY,4001887400,RESSD - Detached SIngle Dwelling,OS-One Storey,1968,1205,2023,6,390000,323.65,434500,360.58
1482 ROTHESAY ST,4001893000,RESSS - Side By Side,TS-Two Storey,1968,1152,2023,8,280000,243.06,310800,269.79
115 GEMINI AVE,4001977800,RESSD - Detached SIngle Dwelling,OS-One Storey,1970,988,2024,2,384000,388.66,421600,426.72
68 TRANQUILITY COVE,4002071100,RESSD - Detached SIngle Dwelling,OS-One Storey,1972,1076,2023,8,357000,331.78,396300,368.31
1619 ROTHESAY ST,4002207500,RESSS - Side By Side,OS-One Storey,1974,864,2024,12,275000,318.29,283000,327.55
94 REINY DR,4002420700,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1976,1132,2023,11,399900,353.27,441500,390.02
150 REINY DR,4002428300,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1977,1246,2024,7,530150,425.48,572600,459.55
18 JEFFREY CRES,4002758800,RESSD - Detached SIngle Dwelling,OS-One Storey,1983,1276,2024,7,488000,382.45,527000,413.01
1105 BRUNSWICK ST,4002850200,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1999,801,2023,6,400000,499.38,445600,556.30
70 ROBERT CARTWRIGHT PL,4002951600,RESSD - Detached SIngle Dwelling,OS-One Storey,1985,1040,2024,5,370000,355.77,404400,388.85
194 ALBERHILL CRES,4003058000,RESSD - Detached SIngle Dwelling,OS-One Storey,1988,1432,2023,6,525000,366.62,584900,408.45
18 SUNRISE COVE,4003062000,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1988,1831,2023,7,548500,299.56,609900,333.10
78 THURLBY RD,4003316000,RESSD - Detached SIngle Dwelling,OS-One Storey,1981,1341,2024,9,450000,335.57,476600,355.41
18 MITCHELSON WAY,4003623000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1987,1887,2024,10,615000,325.91,645100,341.87
77 COX BLVD,4003918000,RESSD - Detached SIngle Dwelling,O3-One & 3/4 Storey,1995,2097,2024,2,595000,283.74,631900,301.34
2205 KNOWLES AVE,4004220000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1975,2003,2024,7,400000,199.70,415200,207.29
